383	381	18	116
369	375	364	422
373	110	16	378
385	118	366	425
18	383	108	379
117	114	422	424
109	49	0	387
118	110	15	373
97	423	91	425
96	68	3	370
365	367	69	423
4	365	69	97
93	92	95	424
67	91	98	425
381	378	116	423
63	95	2	388
62	5	98	364
110	111	115	425
3	96	363	65
382	13	385	111
98	5	67	371
389	2	64	95
109	113	114	424
4	66	372	97
381	367	378	423
385	111	118	425
360	385	384	425
119	19	379	374
117	114	107	422
379	108	19	119
118	111	110	425
378	367	365	423
376	117	11	107
91	67	66	425
379	370	383	426
68	359	370	426
378	110	16	116
120	382	13	380
68	359	55	370
111	14	385	118
383	359	381	426
61	62	369	364
116	110	115	423
112	109	21	387
69	365	53	367
65	363	50	368
62	98	93	422
65	92	96	421
67	56	360	371
55	3	68	370
383	370	359	426
11	12	375	107
53	4	365	69
66	97	91	425
385	366	384	425
5	62	61	364
363	50	3	65
118	14	385	366
5	56	67	371
117	10	0	386
385	13	14	111
69	94	97	423
4	66	58	372
58	66	384	372
381	378	17	116
96	94	68	426
117	109	114	424
112	21	377	387
388	2	63	59
108	19	18	379
52	2	64	389
381	17	18	116
110	16	15	373
378	16	17	116
54	359	55	68
11	10	117	376
369	60	62	61
362	59	63	60
0	21	109	387
65	50	51	368
119	20	19	374
53	69	367	54
64	361	51	52
13	12	120	380
52	64	361	389
15	14	118	366
56	360	57	67
59	63	388	362
386	117	10	376
377	20	21	112
384	57	66	58
112	424	113	109
113	424	112	421
380	107	12	120
12	107	380	375
424	376	362	422
424	362	376	386
2	49	95	389
2	95	49	388
189	467	457	492
157	446	457	467
279	440	437	473
432	456	217	463
353	433	354	454
217	453	432	463
279	437	486	494
207	444	443	479
443	444	207	493
189	160	467	492
354	433	48	454
432	453	217	456
135	463	432	476
175	471	441	482
168	434	170	491
168	455	434	491
157	457	189	467
155	465	446	467
279	437	440	486
170	434	468	491
48	454	433	460
191	207	443	479
347	354	353	433
175	441	174	491
347	323	354	433
442	443	179	481
442	179	471	481
308	323	347	433
155	154	465	467
446	465	435	467
279	486	464	494
442	249	470	488
135	321	463	476
109	112	321	463
165	451	434	455
168	165	434	455
149	435	146	469
149	465	435	469
179	443	442	484
308	433	347	462
241	449	439	453
354	323	48	433
434	451	165	475
325	322	307	436
442	464	249	488
325	322	436	450
168	434	165	475
193	205	434	468
321	109	463	476
193	452	434	474
157	189	160	467
191	443	207	493
453	456	439	490
48	137	454	460
340	473	437	482
127	445	461	469
212	456	453	490
238	439	447	487
320	354	48	454
36	461	445	478
127	461	140	469
145	435	143	469
434	452	193	468
444	460	231	488
241	439	319	453
353	354	344	454
264	217	456	463
155	446	157	467
231	460	444	479
145	143	435	458
149	148	465	469
36	127	445	461
193	434	205	474
138	460	433	470
143	435	458	469
35	135	432	476
135	35	432	461
179	182	443	484
149	146	148	469
217	313	453	463
175	288	471	482
130	444	231	488
35	432	461	476
130	231	460	488
222	432	135	463
441	471	437	482
143	458	445	469
251	442	470	484
273	458	302	489
175	288	176	471
239	439	238	487
465	469	148	490
446	457	445	478
432	456	222	461
241	319	242	453
207	231	444	479
130	460	225	488
203	445	143	458
241	242	449	453
237	447	478	487
238	447	237	487
140	461	456	469
302	458	451	489
320	344	354	454
195	452	193	474
212	217	453	456
48	137	320	454
35	461	447	476
296	437	340	473
142	140	456	469
325	450	436	477
432	449	115	453
224	456	432	463
447	461	432	476
307	436	322	485
203	141	143	445
214	438	451	455
249	464	248	488
130	231	225	460
113	463	109	476
214	451	199	455
444	460	428	479
443	444	428	479
247	470	249	488
253	279	464	494
241	240	439	449
251	442	249	470
141	127	140	469
343	454	436	485
154	152	465	467
222	432	224	456
178	442	179	471
221	448	438	452
186	191	443	477
436	459	322	485
143	445	141	469
242	118	111	453
142	140	202	456
289	473	340	482
302	451	458	483
350	433	353	454
253	437	279	494
313	116	453	463
179	443	182	481
325	436	307	477
308	337	433	462
206	170	168	434
443	477	191	479
220	457	121	492
247	249	248	488
457	489	121	492
146	435	145	469
330	438	221	448
165	164	163	451
450	462	433	470
165	451	163	475
195	448	452	474
427	486	437	494
347	433	353	462
347	353	352	462
436	450	322	459
141	445	127	469
435	465	152	467
260	462	450	470
133	346	454	485
138	323	308	433
237	447	236	478
109	113	112	463
192	443	191	493
152	283	149	465
271	38	445	458
435	457	446	467
199	200	214	455
47	460	138	470
37	36	445	478
239	238	237	487
283	435	149	465
160	474	467	492
447	461	232	478
241	242	240	449
279	440	43	486
147	145	146	435
251	470	450	484
290	205	284	434
152	435	283	465
157	160	156	467
149	465	148	490
299	211	440	472
135	432	222	461
181	179	182	481
145	435	147	483
168	165	266	475
438	448	40	489
284	170	206	434
36	232	461	478
140	202	456	461
230	343	436	485
168	206	434	475
170	434	284	468
40	438	330	448
133	310	346	485
283	435	152	467
271	272	38	458
323	138	48	433
38	457	445	458
156	155	157	467
205	284	434	468
442	428	470	484
145	458	435	483
193	187	205	468
439	453	432	456
211	466	440	472
276	457	446	478
431	439	432	456
455	472	299	480
276	445	457	478
432	439	431	447
166	451	165	455
205	434	290	474
37	36	127	445
223	135	321	463
246	47	138	470
456	148	469	490
237	236	235	478
437	471	288	482
432	447	431	461
440	466	213	486
114	449	432	476
431	456	432	461
144	146	145	469
350	433	454	459
435	467	283	483
350	459	454	485
283	146	149	435
290	284	206	434
289	296	340	473
277	121	220	457
147	146	283	435
337	138	308	433
333	442	471	494
277	121	457	489
272	457	38	458
155	446	465	487
238	447	439	449
147	435	283	483
186	190	191	477
213	486	466	493
457	458	39	489
224	264	456	463
428	460	444	488
272	39	457	458
254	450	260	462
200	455	299	480
115	432	114	449
221	452	438	473
321	112	223	463
351	350	353	454
299	472	440	480
350	454	351	485
299	211	305	440
224	432	222	463
163	475	451	483
447	449	342	476
192	191	207	493
427	440	437	486
221	438	331	473
432	453	115	463
457	467	430	492
428	442	470	488
290	434	206	475
222	135	223	463
41	330	40	438
427	442	471	481
313	108	116	463
272	39	38	457
303	438	40	489
136	35	447	476
242	111	449	453
155	158	446	487
202	222	224	456
214	438	303	451
331	221	330	438
177	471	179	481
432	463	114	476
163	451	164	483
429	441	482	491
270	467	160	474
434	452	448	474
431	461	445	469
260	450	254	470
191	477	190	479
330	221	219	448
238	236	237	447
