758,2411,2775,-1
638,829,1480,-1
181,2813,2956,-1
524,743,959,2233
337,377,565,766
450,2100,2151,2265
311,434,1888,2077
598,1400,2106,-1
173,652,1547,1913
133,523,1842,-1
873,989,2264,2416
589,1882,2844,-1
792,1270,2873,-1
1878,2817,2942,-1
256,774,943,2081
556,1268,1761,1905
882,1174,2262,-1
305,2725,2849,2861
854,995,1330,-1
1039,1098,1335,1366
1276,1744,2897,-1
301,649,1166,2427
329,1899,2782,-1
237,1161,1234,1486
9,456,2941,2943
75,916,1394,1635
213,314,2408,-1
290,416,2093,-1
608,974,1279,2915
893,1603,2397,2617
310,318,887,2870
681,1722,1814,2096
320,1193,2047,2455
1648,1835,2498,-1
242,314,345,1069
344,859,1510,-1
316,910,2661,-1
200,821,1999,-1
330,974,2132,2915
2483,2513,2554,-1
601,1465,1824,-1
132,525,2354,-1
371,1099,2858,-1
272,341,2588,-1
477,797,1651,-1
306,330,2865,-1
322,329,2707,-1
450,1701,2265,-1
950,1151,1396,1924
205,1598,2195,2497
359,1869,1962,2119
139,946,2024,2181
775,1263,1957,-1
288,352,361,-1
167,767,1832,-1
78,1498,2307,-1
240,1620,1747,-1
327,386,2437,-1
64,704,859,2591
933,1734,2862,-1
319,1663,2843,2955
318,396,887,-1
1548,2071,2561,-1
815,857,950,-1
474,749,1169,2558
73,604,2651,-1
1502,2198,2373,-1
42,1974,2210,-1
337,565,1897,1927
840,1977,2802,-1
963,1197,1362,-1
369,651,1156,1165
1010,1459,2593,-1
909,1493,2504,-1
1646,1966,2149,-1
334,1221,2290,-1
1505,1991,2260,-1
337,1506,1728,-1
100,1372,1410,-1
1034,1265,2213,-1
644,1854,2602,-1
1213,1823,1943,-1
1796,2044,2148,-1
232,930,1898,2132
376,855,2945,-1
255,355,1551,1694
181,584,732,2814
244,326,864,1211
131,902,1927,2727
897,1352,1706,1911
237,384,1161,-1
1140,1227,2894,-1
244,368,2081,-1
288,1726,2471,-1
253,1477,2182,-1
250,384,2270,-1
385,452,464,1898
117,1316,2061,2538
157,1307,1310,1434
1558,1737,1751,-1
238,374,379,-1
71,380,872,2025
229,341,1589,2436
15,1585,2565,-1
1100,1336,2070,-1
60,180,884,-1
939,2172,2479,2493
60,610,1154,-1
1255,1283,1286,-1
948,1096,1106,2207
1967,2429,2678,-1
1605,1635,1846,2052
345,878,2091,-1
1070,2815,2852,-1
1149,1164,1534,-1
154,1484,2806,-1
1057,1412,2336,2344
770,1159,2953,-1
544,1288,1804,-1
545,1349,1696,-1
995,2275,2405,-1
643,2060,2450,-1
155,522,895,-1
677,828,1480,-1
969,1305,2369,-1
809,864,1895,2085
1269,1577,1906,-1
711,2494,2496,-1
927,1914,2175,-1
618,1527,1602,2044
723,1348,2760,-1
1842,2121,2453,-1
56,311,1311,-1
15,59,245,-1
510,530,659,-1
424,1647,2897,-1
488,1530,2787,-1
519,1764,1931,-1
80,842,1426,2395
576,581,1412,1428
419,774,2081,-1
239,429,441,1764
532,1528,2219,-1
1312,1505,2260,-1
2167,2169,2492,2590
202,425,1930,1931
549,2196,2515,-1
119,1818,2356,-1
1411,2339,2344,-1
49,54,451,1269
290,860,1311,2872
585,633,1121,-1
1006,1517,1642,-1
282,1570,1836,2327
931,2348,2606,-1
1567,1835,2001,2497
169,493,510,638
425,883,1789,1876
841,2243,2247,-1
532,1518,2219,-1
446,552,2776,-1
240,1665,2120,-1
444,448,1902,2188
1158,1623,2060,2449
173,446,1267,-1
86,1360,1734,-1
289,331,627,-1
433,1577,1580,-1
380,598,1653,2106
211,1651,2057,-1
624,948,2254,-1
676,930,1114,-1
308,2092,2096,2884
1850,1900,1923,2028
549,884,1122,2514
133,1636,1839,-1
462,879,912,-1
228,1116,1467,2718
460,715,2106,-1
708,838,2090,2701
380,465,974,2132
48,464,1933,2705
73,724,916,1604
1028,1442,1664,-1
756,1526,1831,2324
916,1634,1635,-1
87,868,2382,2917
1697,1794,2883,-1
260,949,999,1973
1448,2459,2567,-1
348,520,1294,2049
111,619,2390,-1
490,521,1023,1915
328,1208,1963,-1
515,1785,2554,-1
745,938,1848,-1
279,1345,2898,-1
1427,2547,2628,-1
72,1107,1702,-1
489,2442,2657,-1
247,282,2441,-1
898,1221,2136,2290
272,1589,1590,-1
587,1368,2071,-1
420,1253,1565,-1
140,483,1778,2666
476,506,1143,-1
939,1768,2173,-1
198,984,1177,2336
440,659,2292,-1
1867,1941,2463,-1
596,632,2922,-1
12,1182,1241,1318
729,2245,2761,-1
12,264,750,2691
500,984,1566,1754
499,1478,1615,-1
14,147,1684,2578
1510,1767,2294,2843
1056,1139,1378,-1
861,871,1623,-1
686,1258,1259,2263
490,521,740,1453
12,112,1454,-1
1030,1447,2422,2604
199,569,2065,-1
418,440,1722,1935
61,1124,1491,-1
911,2292,2350,2610
882,1316,2312,2808
93,772,1485,2340
478,1991,2512,-1
597,606,2196,2509
870,1854,2598,-1
21,862,2454,-1
421,1940,2462,-1
474,1419,1582,-1
476,506,2365,-1
406,1315,1601,-1
293,569,1057,2453
230,287,2161,-1
325,527,1961,2728
1030,1146,2272,2282
525,1506,2149,-1
170,1007,2204,-1
263,1189,2549,-1
418,534,905,-1
540,1722,1935,2792
426,443,960,1830
28,1599,1613,-1
530,1867,1930,-1
164,1651,1693,2225
553,629,1288,1962
1051,1912,2194,-1
542,791,813,1223
1013,1495,1958,-1
531,2463,2614,-1
137,2396,2789,-1
538,785,1515,-1
690,880,2279,-1
402,553,1050,1275
204,403,1816,1917
574,1134,1520,-1
880,924,2331,-1
1050,1612,1640,-1
430,458,1502,2509
22,1675,1811,-1
232,879,1167,-1
444,1397,1489,-1
536,544,2191,-1
575,997,2527,-1
567,572,780,-1
299,1766,2178,-1
263,567,575,2552
1545,1551,2919,2925
1611,2127,2244,-1
651,1325,2050,2857
735,840,2507,-1
1281,2166,2956,-1
105,728,1026,-1
105,131,1026,-1
288,352,2277,-1
44,635,1576,-1
555,557,1608,-1
1092,2097,2170,-1
509,523,979,-1
265,1628,1838,2473
1840,1949,2474,-1
555,575,1443,2526
103,874,2465,-1
546,592,1133,2002
554,557,572,-1
423,979,985,1057
87,1121,2299,-1
636,857,1990,-1
833,884,2260,-1
63,815,1060,2433
423,977,2468,2520
13,628,1912,2186
186,1890,1976,-1
370,1282,2166,2956
68,435,1046,2152
